model_name,context_window_operation,context_window_size,similarity_measure,score,time,time_per
EMBEDDIA/crosloengual-bert,sum,5,cosine,0.692632696822082,28.76458100000309,0.2568266160714562
EMBEDDIA/crosloengual-bert,sum,2,cosine,0.6856553122894548,28.861656583001604,0.2576933623482286
EMBEDDIA/crosloengual-bert,sum,1,cosine,0.6513681547057277,28.99243866699544,0.258861059526745
bert-base-multilingual-cased,sum,5,cosine,0.6140850298099814,37.7536151250024,0.33708584933037855
bert-base-multilingual-uncased,sum,5,cosine,0.596758014623111,34.33055179100484,0.3065227838482575
bert-base-multilingual-cased,sum,2,cosine,0.594189506472811,36.933131999998295,0.32976010714284193
EMBEDDIA/crosloengual-bert,sum,10,cosine,0.5906069397825068,31.46029733299656,0.280895511901755
EMBEDDIA/crosloengual-bert,sum,20,cosine,0.5734407737589797,28.897085500000685,0.25800969196429185
bert-base-multilingual-cased,sum,1,cosine,0.5683938590194316,33.551772250000795,0.2995693950892928
bert-base-multilingual-cased,sum,10,cosine,0.5659826698067205,34.710329333996924,0.30991365476782967
bert-base-multilingual-uncased,sum,10,cosine,0.5646235022640786,34.55980433300283,0.30856968154466813
bert-base-multilingual-cased,sum,20,cosine,0.5465473012923945,36.49685295800009,0.3258647585535722
bert-base-multilingual-uncased,sum,20,cosine,0.537979641323155,30.268822749996616,0.27025734598211265
classla/bcms-bertic,sum,20,cosine,0.48693420454958014,43.47974654199788,0.3882120226964097
bert-base-multilingual-uncased,sum,2,cosine,0.4755259233947776,38.078354874996876,0.3399853113839007
bert-base-multilingual-uncased,sum,50,cosine,0.4527156373580423,28.72562645799917,0.25647880766070685
bert-base-multilingual-cased,sum,50,cosine,0.45145297019194586,36.51867841700005,0.3260596287232147
classla/bcms-bertic,sum,50,cosine,0.44552516961938005,51.00626399999601,0.45541307142853577
bert-base-multilingual-cased,none,0,cosine,0.4454510618665306,33.60266262499499,0.3000237734374553
bert-base-multilingual-uncased,sum,1,cosine,0.4393149601082529,34.44510925000213,0.30754561830359045
classla/bcms-bertic,sum,10,cosine,0.4230767521540644,49.46069529200031,0.4416133508214313
EMBEDDIA/crosloengual-bert,sum,50,cosine,0.4229687638738089,26.780925458995625,0.23911540588388952
EMBEDDIA/crosloengual-bert,none,0,cosine,0.4110127846787539,26.09608533300343,0.23300076190181634
bert-base-multilingual-uncased,none,0,cosine,0.38501164444494695,31.95478112500132,0.2853105457589403
classla/bcms-bertic,sum,5,cosine,0.30093895587114183,31.493018667002616,0.2811876666696662
classla/bcms-bertic,sum,1,cosine,0.29371223893929566,28.35985200000141,0.25321296428572687
classla/bcms-bertic,sum,100,cosine,0.22332725538538512,29.539173375000246,0.26374261941964505
EMBEDDIA/crosloengual-bert,sum,100,cosine,0.21739744847005227,30.159101124998415,0.2692776886160573
classla/bcms-bertic,sum,2,cosine,0.21590989044508335,31.214965958999528,0.27870505320535294
classla/bcms-bertic,none,0,cosine,0.2158598103391587,29.07173629099998,0.25956907402678553
bert-base-multilingual-uncased,sum,100,cosine,0.1371123118907569,27.346286415995564,0.24416327157138898
bert-base-multilingual-cased,sum,100,cosine,0.12412895400012647,33.87787212499825,0.3024810011160558
